-17,0.080628,0.45638,745,9240
-7,0.081011,0.45788,532,6567
-17,0.13021,0.39673,859,6597
11,0.11718,0.57265,238,2031
16,0.10273,0.46144,812,7904
16,0.082832,0.46067,523,6314
27,0.15097,0.5342,1101,7293
-10,0.10784,0.28095,748,6936
-23,0.11181,0.4936,548,4901
5,0.11494,0.63122,743,6464
7,0.074434,0.44217,690,9270
-6,0.1538,0.44177,767,4987
-13,0.11587,0.36364,241,2080
0,0.11884,0.34485,1307,10998
-2,0.12028,0.4662,570,4739
1,0.1302,0.43382,563,4324
19,0.11681,0.49574,1282,10975
-7,0.14146,0.37255,724,5118
-5,0.11411,0.35229,739,6476
-22,0.14418,0.4254,482,3343
-9,0.12834,0.42925,216,1683
-22,0.099036,0.476,740,7472
18,0.10557,0.36058,925,8762
